env_index,episode_steps,info,mode,repeat,termination,wall_seconds
6,163,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -39.713379, ""l"": 163, ""t"": 5.664306}, ""TimeLimit.truncated"": false}",ppo,1,done,0.3956802058964968
4,202,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -33.273929, ""l"": 202, ""t"": 5.910955}, ""TimeLimit.truncated"": false}",ppo,1,done,0.5261390954256058
1,267,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.170084, ""l"": 267, ""t"": 6.282474}, ""TimeLimit.truncated"": false}",ppo,1,done,0.7563586253672838
7,267,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.54512, ""l"": 267, ""t"": 5.083729}, ""TimeLimit.truncated"": false}",ppo,1,done,0.7563586253672838
7,160,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.410289, ""l"": 160, ""t"": 5.589385}, ""TimeLimit.truncated"": false}",ppo,1,done,0.504800595343113
5,489,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_reached"": 1, ""episode"": {""r"": 15.69337, ""l"": 489, ""t"": 6.710145}, ""TimeLimit.truncated"": true}",ppo,1,done,1.4537230357527733
1,317,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -35.862584, ""l"": 317, ""t"": 7.275387}, ""TimeLimit.truncated"": false}",ppo,1,done,0.9918141309171915
5,136,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.160669, ""l"": 136, ""t"": 7.133747}, ""TimeLimit.truncated"": false}",ppo,1,done,0.423878968693316
2,663,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.383735, ""l"": 663, ""t"": 7.438724}, ""TimeLimit.truncated"": false}",ppo,1,done,1.999188357964158
3,735,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -38.689687, ""l"": 735, ""t"": 7.619992}, ""TimeLimit.truncated"": false}",ppo,1,done,2.2240985222160816
0,771,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -18.976054, ""l"": 771, ""t"": 7.756335}, ""TimeLimit.truncated"": false}",ppo,1,done,2.3421417316421866
5,234,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -35.965837, ""l"": 234, ""t"": 7.866623}, ""TimeLimit.truncated"": false}",ppo,1,done,0.7328780284151435
2,200,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -47.029528, ""l"": 200, ""t"": 8.068831}, ""TimeLimit.truncated"": false}",ppo,1,done,0.6303136209025979
0,177,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.704507, ""l"": 177, ""t"": 8.305512}, ""TimeLimit.truncated"": false}",ppo,1,done,0.549313347786665
7,550,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.268483, ""l"": 550, ""t"": 7.318408}, ""TimeLimit.truncated"": false}",ppo,1,done,1.7284028073772788
5,205,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -47.249927, ""l"": 205, ""t"": 8.85145}, ""TimeLimit.truncated"": false}",ppo,1,done,0.9849483985453844
0,147,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -48.0581, ""l"": 147, ""t"": 9.106498}, ""TimeLimit.truncated"": false}",ppo,1,done,0.800735299475491
2,367,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -28.455707, ""l"": 367, ""t"": 9.566741}, ""TimeLimit.truncated"": false}",ppo,1,done,1.4981906320899725
4,1060,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -25.085647, ""l"": 1060, ""t"": 9.636303}, ""TimeLimit.truncated"": false}",ppo,1,done,3.725271054543555
5,292,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.780872, ""l"": 292, ""t"": 9.780949}, ""TimeLimit.truncated"": false}",ppo,1,done,0.9298503398895264
7,396,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -27.508454, ""l"": 396, ""t"": 8.913223}, ""TimeLimit.truncated"": false}",ppo,1,done,1.596436251886189
6,1272,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.066785, ""l"": 1272, ""t"": 10.060907}, ""TimeLimit.truncated"": false}",ppo,1,done,4.397148188203573
0,392,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.994664, ""l"": 392, ""t"": 10.381137}, ""TimeLimit.truncated"": false}",ppo,1,done,1.2744065588340163
6,128,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.445462, ""l"": 128, ""t"": 10.486514}, ""TimeLimit.truncated"": false}",ppo,1,done,0.42524135299026966
7,229,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -24.888932, ""l"": 229, ""t"": 9.703165}, ""TimeLimit.truncated"": false}",ppo,1,done,0.7902628136798739
4,396,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -27.815482, ""l"": 396, ""t"": 10.981644}, ""TimeLimit.truncated"": false}",ppo,1,done,1.3459717333316803
0,289,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.250161, ""l"": 289, ""t"": 11.472311}, ""TimeLimit.truncated"": false}",ppo,1,done,1.0956886056810617
1,1206,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -65.137783, ""l"": 1206, ""t"": 11.647029}, ""TimeLimit.truncated"": false}",ppo,1,done,4.375931065529585
3,1225,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.35209, ""l"": 1225, ""t"": 12.108542}, ""TimeLimit.truncated"": false}",ppo,1,done,4.4914236925542355
5,701,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.44499, ""l"": 701, ""t"": 12.61703}, ""TimeLimit.truncated"": false}",ppo,1,done,2.8388470988720655
1,426,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -50.932982, ""l"": 426, ""t"": 13.393891}, ""TimeLimit.truncated"": false}",ppo,1,done,1.7441577780991793
6,664,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.667171, ""l"": 664, ""t"": 13.182104}, ""TimeLimit.truncated"": false}",ppo,1,done,2.698313269764185
3,309,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -31.657621, ""l"": 309, ""t"": 13.465625}, ""TimeLimit.truncated"": false}",ppo,1,done,1.3553318735212088
1,74,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -29.816161, ""l"": 74, ""t"": 13.679049}, ""TimeLimit.truncated"": false}",ppo,1,done,0.2837682720273733
5,256,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -35.828272, ""l"": 256, ""t"": 13.496776}, ""TimeLimit.truncated"": false}",ppo,1,done,0.8782771909609437
2,1175,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -53.320192, ""l"": 1175, ""t"": 13.986579}, ""TimeLimit.truncated"": false}",ppo,1,done,4.42310756072402
4,797,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -62.038167, ""l"": 797, ""t"": 14.099435}, ""TimeLimit.truncated"": false}",ppo,1,done,3.120228356681764
1,206,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -40.185153, ""l"": 206, ""t"": 14.379767}, ""TimeLimit.truncated"": false}",ppo,1,done,0.7006992837414145
2,255,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.336707, ""l"": 255, ""t"": 14.801124}, ""TimeLimit.truncated"": false}",ppo,1,done,0.81239378079772
5,350,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.719565, ""l"": 350, ""t"": 14.635618}, ""TimeLimit.truncated"": false}",ppo,1,done,1.1372442413121462
2,129,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -38.197872, ""l"": 129, ""t"": 15.222362}, ""TimeLimit.truncated"": false}",ppo,1,done,0.4192075598984957
1,369,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -36.051431, ""l"": 369, ""t"": 15.540383}, ""TimeLimit.truncated"": false}",ppo,1,done,1.1618292685598135
0,1124,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -32.354551, ""l"": 1124, ""t"": 15.541877}, ""TimeLimit.truncated"": false}",ppo,1,done,4.065750019624829
5,277,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -47.433822, ""l"": 277, ""t"": 15.507181}, ""TimeLimit.truncated"": false}",ppo,1,done,0.8719959333539009
7,1418,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -58.008867, ""l"": 1418, ""t"": 14.821501}, ""TimeLimit.truncated"": false}",ppo,1,done,5.120307925157249
4,578,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -26.833037, ""l"": 578, ""t"": 15.92521}, ""TimeLimit.truncated"": false}",ppo,1,done,1.8247848423197865
1,195,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -35.615324, ""l"": 195, ""t"": 16.152234}, ""TimeLimit.truncated"": false}",ppo,1,done,0.6102398633956909
3,808,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.043567, ""l"": 808, ""t"": 16.405592}, ""TimeLimit.truncated"": false}",ppo,1,done,2.9379610372707248
2,459,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.791691, ""l"": 459, ""t"": 16.937901}, ""TimeLimit.truncated"": false}",ppo,1,done,1.716441790573299
7,256,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -37.996511, ""l"": 256, ""t"": 15.924819}, ""TimeLimit.truncated"": false}",ppo,1,done,1.1012372383847833
4,271,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -48.897335, ""l"": 271, ""t"": 17.076942}, ""TimeLimit.truncated"": false}",ppo,1,done,1.1486230669543147
3,235,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -60.234291, ""l"": 235, ""t"": 17.119054}, ""TimeLimit.truncated"": false}",ppo,1,done,0.7143234685063362
0,429,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -67.073423, ""l"": 429, ""t"": 17.212419}, ""TimeLimit.truncated"": false}",ppo,1,done,1.6702389502897859
6,1131,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_reached"": 1, ""episode"": {""r"": 17.214833, ""l"": 1131, ""t"": 17.180018}, ""TimeLimit.truncated"": true}",ppo,1,done,3.9963222527876496
1,314,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -36.333443, ""l"": 314, ""t"": 17.505424}, ""TimeLimit.truncated"": false}",ppo,1,done,1.3539224900305271
7,148,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.94813, ""l"": 148, ""t"": 16.482408}, ""TimeLimit.truncated"": false}",ppo,1,done,0.5588455200195312
