env_index,episode_steps,info,mode,repeat,termination,wall_seconds
9,130,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -27.411677, ""l"": 130, ""t"": 11.308214}, ""TimeLimit.truncated"": false}",ppo,1,done,1.1261236798018217
1,176,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -34.519667, ""l"": 176, ""t"": 13.275075}, ""TimeLimit.truncated"": false}",ppo,1,done,1.817788714542985
5,178,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -36.288118, ""l"": 178, ""t"": 13.506395}, ""TimeLimit.truncated"": false}",ppo,1,done,2.332938013598323
12,202,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.719857, ""l"": 202, ""t"": 13.947303}, ""TimeLimit.truncated"": false}",ppo,1,done,2.9086706563830376
10,280,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -33.965711, ""l"": 280, ""t"": 14.838247}, ""TimeLimit.truncated"": false}",ppo,1,done,3.7455246094614267
0,294,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -38.558147, ""l"": 294, ""t"": 15.73779}, ""TimeLimit.truncated"": false}",ppo,1,done,4.300045670941472
3,301,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.950949, ""l"": 301, ""t"": 16.109751}, ""TimeLimit.truncated"": false}",ppo,1,done,4.835782322101295
2,327,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -34.209894, ""l"": 327, ""t"": 16.851196}, ""TimeLimit.truncated"": false}",ppo,1,done,5.461608829908073
9,201,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.891621, ""l"": 201, ""t"": 16.174823}, ""TimeLimit.truncated"": false}",ppo,1,done,4.8336899084970355
1,193,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.986549, ""l"": 193, ""t"": 18.095369}, ""TimeLimit.truncated"": false}",ppo,1,done,4.772241974249482
12,218,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.132523, ""l"": 218, ""t"": 18.329665}, ""TimeLimit.truncated"": false}",ppo,1,done,4.401879729703069
11,427,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -40.263294, ""l"": 427, ""t"": 18.761937}, ""TimeLimit.truncated"": false}",ppo,1,done,7.85771494358778
14,463,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.523141, ""l"": 463, ""t"": 19.359018}, ""TimeLimit.truncated"": false}",ppo,1,done,8.513694789260626
9,172,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -55.383335, ""l"": 172, ""t"": 19.42277}, ""TimeLimit.truncated"": false}",ppo,1,done,3.2327207680791616
15,511,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -50.250138, ""l"": 511, ""t"": 20.56475}, ""TimeLimit.truncated"": false}",ppo,1,done,9.683944776654243
0,227,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.747772, ""l"": 227, ""t"": 22.011405}, ""TimeLimit.truncated"": false}",ppo,1,done,6.260357765480876
5,354,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -51.055891, ""l"": 354, ""t"": 22.285578}, ""TimeLimit.truncated"": false}",ppo,1,done,8.739505973644555
8,578,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.458157, ""l"": 578, ""t"": 22.930907}, ""TimeLimit.truncated"": false}",ppo,1,done,11.781684496439993
13,600,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -55.861414, ""l"": 600, ""t"": 23.343563}, ""TimeLimit.truncated"": false}",ppo,1,done,12.386024477891624
15,109,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.099265, ""l"": 109, ""t"": 23.816673}, ""TimeLimit.truncated"": false}",ppo,1,done,3.253436920233071
11,276,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -51.006313, ""l"": 276, ""t"": 24.704461}, ""TimeLimit.truncated"": false}",ppo,1,done,5.890028223395348
4,735,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.939301, ""l"": 735, ""t"": 25.776508}, ""TimeLimit.truncated"": false}",ppo,1,done,14.40568853635341
