env_index,episode_steps,info,mode,repeat,termination,wall_seconds
0,250,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.943135, ""l"": 250, ""t"": 1.069651}, ""TimeLimit.truncated"": false}",ppo,0,done,0.17483279199223034
0,595,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -36.96666, ""l"": 595, ""t"": 1.312935}, ""TimeLimit.truncated"": false}",ppo,0,done,0.2447370830050204
0,230,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_reached"": 1, ""episode"": {""r"": 18.029067, ""l"": 230, ""t"": 1.526888}, ""TimeLimit.truncated"": true}",ppo,0,done,0.2123289580049459
0,1070,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -23.25438, ""l"": 1070, ""t"": 1.899799}, ""TimeLimit.truncated"": false}",ppo,0,done,0.3721192500088364
0,171,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.334229, ""l"": 171, ""t"": 2.059171}, ""TimeLimit.truncated"": false}",ppo,0,done,0.16024083399679512
0,423,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -37.632014, ""l"": 423, ""t"": 2.267922}, ""TimeLimit.truncated"": false}",ppo,0,done,0.20674795800005086
0,353,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.914214, ""l"": 353, ""t"": 2.496895}, ""TimeLimit.truncated"": false}",ppo,0,done,0.22882041698903777
0,267,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_reached"": 1, ""episode"": {""r"": 22.044957, ""l"": 267, ""t"": 2.670846}, ""TimeLimit.truncated"": true}",ppo,0,done,0.2200120410125237
0,239,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.66285, ""l"": 239, ""t"": 2.946464}, ""TimeLimit.truncated"": false}",ppo,0,done,0.23313687500194646
0,294,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_reached"": 1, ""episode"": {""r"": 20.51843, ""l"": 294, ""t"": 3.131197}, ""TimeLimit.truncated"": true}",ppo,0,done,0.19172412500483915
0,445,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -27.750756, ""l"": 445, ""t"": 3.409159}, ""TimeLimit.truncated"": false}",ppo,0,done,0.2851430419832468
0,203,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -37.28975, ""l"": 203, ""t"": 3.595309}, ""TimeLimit.truncated"": false}",ppo,0,done,0.1721515830140561
0,692,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.07969, ""l"": 692, ""t"": 3.890687}, ""TimeLimit.truncated"": false}",ppo,0,done,0.2921692499949131
0,184,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.74499, ""l"": 184, ""t"": 4.04883}, ""TimeLimit.truncated"": false}",ppo,0,done,0.162573000008706
0,441,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -55.844198, ""l"": 441, ""t"": 4.27095}, ""TimeLimit.truncated"": false}",ppo,0,done,0.21843191699008457
0,254,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.55301, ""l"": 254, ""t"": 4.441102}, ""TimeLimit.truncated"": false}",ppo,0,done,0.16914129198994488
0,160,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -51.726731, ""l"": 160, ""t"": 4.633028}, ""TimeLimit.truncated"": false}",ppo,0,done,0.19332937500439584
0,1064,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -52.69632, ""l"": 1064, ""t"": 5.000206}, ""TimeLimit.truncated"": false}",ppo,0,done,0.3792958330013789
0,155,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.443677, ""l"": 155, ""t"": 5.169012}, ""TimeLimit.truncated"": false}",ppo,0,done,0.16183150000870228
0,569,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.51175, ""l"": 569, ""t"": 5.416822}, ""TimeLimit.truncated"": false}",ppo,0,done,0.24426045798463747
