env_index,episode_steps,info,mode,repeat,termination,wall_seconds
6,173,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -37.387335, ""l"": 173, ""t"": 14.762344}, ""TimeLimit.truncated"": false}",ppo,2,done,1.0206263344734907
0,185,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -30.339963, ""l"": 185, ""t"": 15.641582}, ""TimeLimit.truncated"": false}",ppo,2,done,1.5300500383600593
2,206,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -48.624798, ""l"": 206, ""t"": 16.123436}, ""TimeLimit.truncated"": false}",ppo,2,done,2.097748707048595
2,105,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.341619, ""l"": 105, ""t"": 17.016464}, ""TimeLimit.truncated"": false}",ppo,2,done,0.8823883794248104
0,164,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -65.27444, ""l"": 164, ""t"": 17.711755}, ""TimeLimit.truncated"": false}",ppo,2,done,2.0656365770846605
5,350,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -27.820035, ""l"": 350, ""t"": 17.917139}, ""TimeLimit.truncated"": false}",ppo,2,done,4.101802598685026
6,251,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -26.936828, ""l"": 251, ""t"": 18.605577}, ""TimeLimit.truncated"": false}",ppo,2,done,3.831756863743067
7,458,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -33.229484, ""l"": 458, ""t"": 19.278351}, ""TimeLimit.truncated"": false}",ppo,2,done,5.480043143965304
1,599,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -35.333851, ""l"": 599, ""t"": 20.517098}, ""TimeLimit.truncated"": false}",ppo,2,done,6.5566994938999414
6,175,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.086179, ""l"": 175, ""t"": 20.242976}, ""TimeLimit.truncated"": false}",ppo,2,done,1.704316295683384
