env_index,episode_steps,info,mode,repeat,termination,wall_seconds
1,259,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -41.172343, ""l"": 259, ""t"": 42.10669}, ""TimeLimit.truncated"": false}",ppo,0,done,1.9827997386455536
2,274,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.240313, ""l"": 274, ""t"": 42.216962}, ""TimeLimit.truncated"": false}",ppo,0,done,2.533194142393768
0,461,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -31.237356, ""l"": 461, ""t"": 43.972354}, ""TimeLimit.truncated"": false}",ppo,0,done,3.99099272955209
1,249,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -47.637532, ""l"": 249, ""t"": 44.810828}, ""TimeLimit.truncated"": false}",ppo,0,done,2.7170181907713413
3,681,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -39.028375, ""l"": 681, ""t"": 45.747874}, ""TimeLimit.truncated"": false}",ppo,0,done,6.010116696357727
0,285,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -29.63405, ""l"": 285, ""t"": 46.763913}, ""TimeLimit.truncated"": false}",ppo,0,done,2.8006355026736856
1,256,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.503464, ""l"": 256, ""t"": 47.551312}, ""TimeLimit.truncated"": false}",ppo,0,done,2.7428192580118775
0,469,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -59.354254, ""l"": 469, ""t"": 49.685552}, ""TimeLimit.truncated"": false}",ppo,0,done,2.916559489443898
3,731,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.269055, ""l"": 731, ""t"": 50.855278}, ""TimeLimit.truncated"": false}",ppo,0,done,5.107514597475529
1,658,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -63.200912, ""l"": 658, ""t"": 51.739398}, ""TimeLimit.truncated"": false}",ppo,0,done,4.186162532307208
2,1800,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""episode"": {""r"": -2.79387, ""l"": 1800, ""t"": 71.563823}, ""TimeLimit.truncated"": true}",ppo,0,done,29.33023684192449
3,678,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -22.688002, ""l"": 678, ""t"": 72.160955}, ""TimeLimit.truncated"": false}",ppo,0,done,21.310733045451343
0,921,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.725879, ""l"": 921, ""t"": 73.123824}, ""TimeLimit.truncated"": false}",ppo,0,done,23.436377115547657
3,184,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -50.351513, ""l"": 184, ""t"": 74.031951}, ""TimeLimit.truncated"": false}",ppo,0,done,1.8585723945870996
1,1193,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -28.878644, ""l"": 1193, ""t"": 76.578178}, ""TimeLimit.truncated"": false}",ppo,0,done,24.84640180785209
2,635,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -59.950503, ""l"": 635, ""t"": 77.159486}, ""TimeLimit.truncated"": false}",ppo,0,done,5.617767225950956
1,158,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -53.799869, ""l"": 158, ""t"": 78.466155}, ""TimeLimit.truncated"": false}",ppo,0,done,1.883265893906355
0,650,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -40.15082, ""l"": 650, ""t"": 78.882693}, ""TimeLimit.truncated"": false}",ppo,0,done,5.7753974217921495
1,157,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.909861, ""l"": 157, ""t"": 80.434017}, ""TimeLimit.truncated"": false}",ppo,0,done,1.9721194645389915
2,383,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -34.488949, ""l"": 383, ""t"": 81.352848}, ""TimeLimit.truncated"": false}",ppo,0,done,4.169994196854532
0,560,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -52.101723, ""l"": 560, ""t"": 83.341055}, ""TimeLimit.truncated"": false}",ppo,0,done,4.419554699212313
2,445,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -36.914491, ""l"": 445, ""t"": 84.419523}, ""TimeLimit.truncated"": false}",ppo,0,done,3.0765010472387075
0,245,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.059992, ""l"": 245, ""t"": 85.572076}, ""TimeLimit.truncated"": false}",ppo,0,done,2.259900340810418
3,1442,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -27.774753, ""l"": 1442, ""t"": 86.50883}, ""TimeLimit.truncated"": false}",ppo,0,done,12.482944692485034
1,836,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.65916, ""l"": 836, ""t"": 87.65486}, ""TimeLimit.truncated"": false}",ppo,0,done,7.214258850552142
0,203,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -24.18303, ""l"": 203, ""t"": 88.16871}, ""TimeLimit.truncated"": false}",ppo,0,done,2.5937854908406734
0,203,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -35.544643, ""l"": 203, ""t"": 89.830976}, ""TimeLimit.truncated"": false}",ppo,0,done,1.6522572748363018
2,559,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.829417, ""l"": 559, ""t"": 90.511849}, ""TimeLimit.truncated"": false}",ppo,0,done,6.0968081736937165
