env_index,episode_steps,info,mode,repeat,termination,wall_seconds
5,160,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -55.796932, ""l"": 160, ""t"": 18.194894}, ""TimeLimit.truncated"": false}",ppo,0,done,1.025243490934372
6,387,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -52.326434, ""l"": 387, ""t"": 19.393237}, ""TimeLimit.truncated"": false}",ppo,0,done,2.2873898716643453
0,416,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -58.733152, ""l"": 416, ""t"": 20.136982}, ""TimeLimit.truncated"": false}",ppo,0,done,2.8920368188992143
3,473,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -34.455002, ""l"": 473, ""t"": 20.849556}, ""TimeLimit.truncated"": false}",ppo,0,done,3.6179147427901626
7,530,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.12159, ""l"": 530, ""t"": 21.402868}, ""TimeLimit.truncated"": false}",ppo,0,done,4.367563806474209
4,635,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.718988, ""l"": 635, ""t"": 22.35575}, ""TimeLimit.truncated"": false}",ppo,0,done,5.2241896111518145
7,155,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -29.063315, ""l"": 155, ""t"": 22.964649}, ""TimeLimit.truncated"": false}",ppo,0,done,1.513955531641841
3,226,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -51.878736, ""l"": 226, ""t"": 23.659185}, ""TimeLimit.truncated"": false}",ppo,0,done,2.8043925873935223
7,137,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.387043, ""l"": 137, ""t"": 24.478175}, ""TimeLimit.truncated"": false}",ppo,0,done,1.5349105410277843
1,823,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.049194, ""l"": 823, ""t"": 25.232922}, ""TimeLimit.truncated"": false}",ppo,0,done,7.9716763608157635
