env_index,episode_steps,info,mode,repeat,termination,wall_seconds
0,461,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -48.945743, ""l"": 461, ""t"": 0.480323}, ""TimeLimit.truncated"": false}",ppo,0,done,0.07959279097849503
0,365,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.554556, ""l"": 365, ""t"": 0.545055}, ""TimeLimit.truncated"": false}",ppo,0,done,0.06462074999581091
0,462,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -51.27478, ""l"": 462, ""t"": 0.658691}, ""TimeLimit.truncated"": false}",ppo,0,done,0.1137886670185253
0,736,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -39.283824, ""l"": 736, ""t"": 0.783241}, ""TimeLimit.truncated"": false}",ppo,0,done,0.12441412499174476
0,146,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.592688, ""l"": 146, ""t"": 0.843117}, ""TimeLimit.truncated"": false}",ppo,0,done,0.06012583299889229
0,214,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.811511, ""l"": 214, ""t"": 0.87979}, ""TimeLimit.truncated"": false}",ppo,0,done,0.03644616701058112
0,210,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -50.831567, ""l"": 210, ""t"": 0.913766}, ""TimeLimit.truncated"": false}",ppo,0,done,0.0340452499804087
0,202,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -47.209507, ""l"": 202, ""t"": 0.947604}, ""TimeLimit.truncated"": false}",ppo,0,done,0.033699207997415215
0,813,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -22.986259, ""l"": 813, ""t"": 1.116124}, ""TimeLimit.truncated"": false}",ppo,0,done,0.16866975001175888
0,347,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.336233, ""l"": 347, ""t"": 1.174685}, ""TimeLimit.truncated"": false}",ppo,0,done,0.05845333400066011
0,272,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.560281, ""l"": 272, ""t"": 1.252304}, ""TimeLimit.truncated"": false}",ppo,0,done,0.0776754159887787
0,214,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.515171, ""l"": 214, ""t"": 1.289061}, ""TimeLimit.truncated"": false}",ppo,0,done,0.03683320901473053
0,290,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.229357, ""l"": 290, ""t"": 1.335011}, ""TimeLimit.truncated"": false}",ppo,0,done,0.0458467910066247
0,143,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -42.196067, ""l"": 143, ""t"": 1.359579}, ""TimeLimit.truncated"": false}",ppo,0,done,0.024592417001258582
0,131,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.426994, ""l"": 131, ""t"": 1.381342}, ""TimeLimit.truncated"": false}",ppo,0,done,0.021691916976124048
0,362,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.643593, ""l"": 362, ""t"": 1.473474}, ""TimeLimit.truncated"": false}",ppo,0,done,0.09233029102324508
0,195,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -22.661963, ""l"": 195, ""t"": 1.50476}, ""TimeLimit.truncated"": false}",ppo,0,done,0.031145666987868026
0,631,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -33.09072, ""l"": 631, ""t"": 1.650875}, ""TimeLimit.truncated"": false}",ppo,0,done,0.1462705830053892
