env_index,episode_steps,info,mode,repeat,termination,wall_seconds
5,160,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.104545, ""l"": 160, ""t"": 13.172317}, ""TimeLimit.truncated"": false}",ppo,0,done,1.3267289130017161
7,228,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -45.651605, ""l"": 228, ""t"": 12.927785}, ""TimeLimit.truncated"": false}",ppo,0,done,1.7206880925223231
11,248,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -32.904337, ""l"": 248, ""t"": 12.917888}, ""TimeLimit.truncated"": false}",ppo,0,done,1.8214398110285401
3,252,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -29.468306, ""l"": 252, ""t"": 13.744307}, ""TimeLimit.truncated"": false}",ppo,0,done,1.8467797338962555
13,320,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -48.37804, ""l"": 320, ""t"": 16.817613}, ""TimeLimit.truncated"": false}",ppo,0,done,2.167597903870046
12,326,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -64.027467, ""l"": 326, ""t"": 17.00332}, ""TimeLimit.truncated"": false}",ppo,0,done,2.2059739883989096
9,373,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -46.45707, ""l"": 373, ""t"": 11.812869}, ""TimeLimit.truncated"": false}",ppo,0,done,2.4233840005472302
0,446,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -44.380726, ""l"": 446, ""t"": 14.089891}, ""TimeLimit.truncated"": false}",ppo,0,done,2.7342314664274454
3,210,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -43.493366, ""l"": 210, ""t"": 14.705137}, ""TimeLimit.truncated"": false}",ppo,0,done,0.9600375993177295
6,463,"{""opponent_action"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""nav_fall"": 1, ""episode"": {""r"": -49.394634, ""l"": 463, ""t"": 13.128068}, ""TimeLimit.truncated"": false}",ppo,0,done,2.8186955051496625
